Date,EIM IS Equity,AXSB IS Equity,BJFIN IS Equity,RELIANCE IS Equity,ITC IS Equity,MM IS Equity,SBIN IS Equity,HNDL IS Equity,TATA IS Equity,SUNP IS Equity,TTAN IS Equity,HDFCB IS Equity,BPCL IS Equity,CIPLA IS Equity,APNT IS Equity,ONGC IS Equity,JSTL IS Equity,WPRO IS Equity,DRRD IS Equity,HMCL IS Equity,HUVR IS Equity,INFO IS Equity,KMB IS Equity,LT IS Equity,MSIL IS Equity,ADE IS Equity,NTPC IS Equity,IIB IS Equity,APHS IS Equity,HCLT IS Equity,PWGR IS Equity,BAF IS Equity,ICICIBC IS Equity,BHARTI IS Equity,ADSEZ IS Equity,TCS IS Equity,TTMT IS Equity,DIVI IS Equity,UTCEM IS Equity,UPLL IS Equity,TECHM IS Equity,BJAUT IS Equity,BRIT IS Equity,GRASIM IS Equity,TATACONS IS Equity
2013-01-10,280.61,273.6,91.0,383.57,187.33,480.65,253.91,130.05,39.45,377.13,266.95,337.9,126.95,425.45,436.27,201.5,84.91,132.31,1910.05,1848.75,516.6,290.29,326.93,687.38,1572.3,33.78,128.17,441.2,803.25,160.4,64.07,136.55,214.45,297.46,135.8,629.2,330.16,534.53,1899.15,91.27,243.9,2138.15,248.0,521.72,161.0
2013-01-11,281.08,272.82,88.83,378.99,182.27,468.95,249.11,127.05,39.15,369.63,269.9,334.65,123.58,421.5,429.95,194.9,83.13,140.46,1899.85,1839.45,498.1,339.01,315.0,680.87,1565.25,32.5,127.25,431.05,794.0,161.21,63.65,134.56,211.55,293.09,131.7,653.17,326.89,531.65,1883.3,89.3,247.34,2118.1,245.08,506.61,158.65
2013-01-14,276.45,277.22,86.7,382.44,185.27,467.5,249.98,128.25,39.76,367.65,274.55,334.65,124.38,416.3,436.56,203.5,84.82,140.19,1913.05,1843.2,505.3,350.81,314.27,691.02,1539.1,33.68,128.38,440.15,806.85,168.2,63.03,135.42,215.48,296.24,136.3,667.25,324.22,529.67,1866.15,92.1,250.5,2093.35,242.5,510.82,159.45
2013-01-15,277.44,284.86,87.37,382.26,189.4,464.65,248.99,129.1,39.85,365.1,276.3,334.15,128.4,418.8,431.31,205.03,86.11,140.79,1902.35,1844.6,503.7,348.38,314.83,693.33,1546.0,33.24,129.71,441.9,809.85,166.03,62.47,136.61,218.97,311.11,136.9,668.73,328.03,534.48,1920.55,90.93,249.95,2115.35,243.23,514.68,158.55
2013-01-16,277.42,281.89,84.04,388.67,189.33,450.35,243.24,123.4,38.93,359.68,276.55,330.25,127.4,416.05,427.83,202.53,83.92,140.46,1929.9,1834.6,500.15,345.93,312.3,686.31,1493.2,32.68,130.17,430.0,808.8,168.45,63.03,134.64,214.52,309.04,135.6,673.88,316.65,531.88,1920.7,89.73,249.48,2076.5,246.98,510.84,156.5
2013-01-17,273.07,281.28,82.9,401.6,190.2,450.48,246.99,122.05,39.28,358.5,276.7,333.4,132.05,407.4,433.32,209.63,86.14,144.05,1938.5,1818.7,500.55,349.74,313.95,678.98,1494.1,33.11,130.92,426.65,797.6,176.0,63.37,134.31,211.36,318.59,134.6,681.0,325.46,527.13,1910.35,92.4,254.6,2052.75,244.95,513.73,154.95
2013-01-18,271.23,277.61,84.26,406.2,191.63,443.0,249.21,122.75,38.93,356.03,274.25,331.43,144.98,409.8,431.11,225.13,86.98,132.9,1891.15,1764.1,490.4,348.51,314.88,683.2,1547.45,33.18,137.08,419.95,793.05,176.41,64.66,133.25,213.85,314.4,132.25,675.5,325.06,525.5,1909.3,94.07,249.74,2059.25,243.08,509.21,153.0
2013-01-21,269.31,277.09,85.99,415.11,194.37,441.05,249.95,122.75,38.85,349.93,276.35,329.28,146.97,404.0,428.79,224.37,86.52,132.96,1922.8,1771.95,497.25,349.54,315.48,696.6,1574.6,34.13,134.67,413.1,779.7,178.8,64.07,135.18,214.1,320.44,135.75,665.0,319.82,533.42,1931.45,94.8,251.09,2058.1,244.75,505.49,154.0
2013-01-22,269.73,278.68,86.68,415.16,192.77,441.83,246.45,119.75,38.34,355.35,269.15,326.88,144.6,405.3,441.31,224.93,85.95,133.37,1912.45,1762.55,480.9,347.94,320.38,690.4,1570.1,33.52,136.96,417.7,772.15,174.41,63.84,135.01,212.75,316.93,135.45,658.75,315.17,530.03,1952.95,93.27,245.2,2067.15,245.08,504.16,151.85
2013-01-23,267.13,279.68,86.92,416.51,195.17,440.98,248.04,117.85,38.23,354.88,266.0,328.3,141.52,406.1,444.25,222.13,85.51,134.37,1922.3,1782.7,460.05,348.7,322.52,693.82,1573.7,33.45,135.5,424.65,800.05,169.1,63.08,132.01,214.73,331.08,133.65,655.98,309.73,520.98,1954.65,91.97,241.75,2033.25,242.63,507.13,149.0
