Date,MF,RF
10-08-2011,1.48703856,0.022071727
11-08-2011,-0.478870456,0.022071727
12-08-2011,-0.652367048,0.02186044
16-08-2011,-0.961521215,0.087470439
17-08-2011,-0.105909501,0.02186044
18-08-2011,-1.677938698,0.021966104
19-08-2011,-1.42112976,0.021966104
22-08-2011,1.323882379,0.065912788
23-08-2011,0.88735125,0.021966104
24-08-2011,-0.76314873,0.021966104
25-08-2011,-0.657730442,0.021966104
26-08-2011,-2.081331079,0.021966104
29-08-2011,2.708717579,0.065912788
30-08-2011,1.176767031,0.021966104
02-09-2011,0.760918254,0.066018457
05-09-2011,-0.300227722,0.066229796
06-09-2011,0.661335377,0.022071727
07-09-2011,1.251392892,0.022071727
08-09-2011,0.372182505,0.022071727
09-09-2011,-1.390645786,0.022071727
12-09-2011,-1.897318459,0.066229796
13-09-2011,0.054447465,0.022071727
14-09-2011,0.976984059,0.022071727
15-09-2011,0.99276852,0.022071727
16-09-2011,0.275109631,0.022071727
19-09-2011,-0.650093978,0.066229796
20-09-2011,1.403594289,0.022071727
21-09-2011,0.098568621,0.022071727
22-09-2011,-3.478456513,0.022071727
23-09-2011,-0.771010737,0.022177309
26-09-2011,-1.261582455,0.066546683
27-09-2011,2.192252306,0.022177309
28-09-2011,-0.403402057,0.022177309
29-09-2011,0.527697634,0.022177309
30-09-2011,-0.899809059,0.022177309
03-10-2011,-1.570022721,0.066546683
04-10-2011,-1.039695791,0.022177309
05-10-2011,-0.475494448,0.022177309
07-10-2011,1.723514612,0.044359536
10-10-2011,1.411025987,0.066546683
11-10-2011,0.095901017,0.022177309
12-10-2011,1.757540746,0.022177309
13-10-2011,-0.375235476,0.022177309
14-10-2011,0.831520056,0.022282851
17-10-2011,-0.473610249,0.066863448
18-10-2011,-1.706982705,0.022282851
19-10-2011,1.55801585,0.022282851
20-10-2011,-0.693298953,0.022282851
21-10-2011,-0.647604019,0.022705116
24-10-2011,0.671052915,0.068130815
25-10-2011,1.193091143,0.022705116
26-10-2011,0.52495742,0.022705116
28-10-2011,2.076969383,0.045415387
31-10-2011,-0.68160433,0.068130815
01-11-2011,-0.792520147,0.022705116
02-11-2011,0.023687058,0.022705116
03-11-2011,0.248759722,0.022705116
04-11-2011,0.539511279,0.022705116
08-11-2011,-0.127993117,0.0908514
09-11-2011,-1.11634171,0.022705116
11-11-2011,-0.721374635,0.045942805
14-11-2011,-0.897288886,0.069713435
15-11-2011,-1.931830326,0.023232414
16-11-2011,-0.974533028,0.023232414
17-11-2011,-1.750738219,0.023232414
18-11-2011,-0.74382655,0.023337802
21-11-2011,-2.255102567,0.070029747
22-11-2011,0.306115288,0.023337802
23-11-2011,-2.155258349,0.023337802
